ID,NAME,SMILES,NaClg/L,Temp,Concentration,IE
10028,"4-(4-pyridylazo)-1-naphthol
(AZN-3)",Oc3ccc(/N=N\c2ccc(Oc1ccccc1)cn2)c4ccccc34,35,323K,1×10-4 M,85.20%
10029,"4-(4-pyridylazo)-1-naphthol
(AZN-3)",Oc3ccc(/N=N\c2ccc(Oc1ccccc1)cn2)c4ccccc34,35,323K,5×10-4 M,94.20%
10030,"4-(2- pyridylazo)-1-naphthol
(AZN-4)",Oc3ccc(/N=N\c2ccc(Oc1ccccc1)cn2)c4ccccc34,35,323K,1×10-5 M,23.50%
10031,"4-(2- pyridylazo)-1-naphthol
(AZN-4)",Oc3ccc(/N=N\c2ccc(Oc1ccccc1)cn2)c4ccccc34,35,323K,2.5×10-5 M,43.80%
10032,"4-(2- pyridylazo)-1-naphthol
(AZN-4)",Oc3ccc(/N=N\c2ccc(Oc1ccccc1)cn2)c4ccccc34,35,323K,5×10-5 M,66.50%
10033,"4-(2- pyridylazo)-1-naphthol
(AZN-4)",Oc3ccc(/N=N\c2ccc(Oc1ccccc1)cn2)c4ccccc34,35,323K,1×10-4 M,79.30%
10034,"4-(2- pyridylazo)-1-naphthol
(AZN-4)",Oc3ccc(/N=N\c2ccc(Oc1ccccc1)cn2)c4ccccc34,35,323K,5×10-4 M,91.00%
10036,"N,N′-bis(2-hydroxypropyl) hexamethylenediammonium octanoate stearate
(NNBOS)",CC(O)C[NH2+]CCCCCC[NH2+]CC(C)O.CCCCCCCC(=O)[O-].CCCCCCCCCCCCCCCCCC(=O)[O-],10,323K,25ppm,92.50%
10037,"N,N′-bis(2-hydroxypropyl) hexamethylenediammonium octanoate stearate
(NNBOS)",CC(O)C[NH2+]CCCCCC[NH2+]CC(C)O.CCCCCCCC(=O)[O-].CCCCCCCCCCCCCCCCCC(=O)[O-],10,323K,50ppm,95.80%
10038,"N,N′-bis(2-hydroxypropyl) hexamethylenediammonium octanoate stearate
(NNBOS)",CC(O)C[NH2+]CCCCCC[NH2+]CC(C)O.CCCCCCCC(=O)[O-].CCCCCCCCCCCCCCCCCC(=O)[O-],10,323K,75ppm,99.30%
10039,"N,N′-bis(2-hydroxypropyl) hexamethylenediammonium octanoate stearate
(NNBOS)",CC(O)C[NH2+]CCCCCC[NH2+]CC(C)O.CCCCCCCC(=O)[O-].CCCCCCCCCCCCCCCCCC(=O)[O-],10,323K,100ppm,99.30%
10040,"N,N′-bis(2-hydroxypropyl) hexamethylenediammonium octanoate oleate
(NNBOO)",CC(O)C[NH2+]CCCCCC[NH2+]CC(C)O.CCCCCCCC(=O)[O-].CCCCCCCC/C=C/CCCCCCCC(=O)[O-],10,323K,10ppm,81.40%
10041,"N,N′-bis(2-hydroxypropyl) hexamethylenediammonium octanoate oleate
(NNBOO)",CC(O)C[NH2+]CCCCCC[NH2+]CC(C)O.CCCCCCCC(=O)[O-].CCCCCCCC/C=C/CCCCCCCC(=O)[O-],10,323K,25ppm,83.57%
10042,"N,N′-bis(2-hydroxypropyl) hexamethylenediammonium octanoate oleate
(NNBOO)",CC(O)C[NH2+]CCCCCC[NH2+]CC(C)O.CCCCCCCC(=O)[O-].CCCCCCCC/C=C/CCCCCCCC(=O)[O-],10,323K,50ppm,96.86%
10043,"N,N′-bis(2-hydroxypropyl) hexamethylenediammonium octanoate oleate
(NNBOO)",CC(O)C[NH2+]CCCCCC[NH2+]CC(C)O.CCCCCCCC(=O)[O-].CCCCCCCC/C=C/CCCCCCCC(=O)[O-],10,323K,100ppm,99.28%
10044,"N,N′-bis(2-hydroxypropyl) hexamethylenediammonium octanoate linolenate
(NNBOL)",CC(O)C[NH2+]CCCCCC[NH2+]CC(C)O.CCCCCCCC(=O)[O-].CCCCC/C=C/C/C=C/CCCCCCCC(=O)[O-],10,323K,5ppm,52.20%
10045,"N,N′-bis(2-hydroxypropyl) hexamethylenediammonium octanoate linolenate
(NNBOL)",CC(O)C[NH2+]CCCCCC[NH2+]CC(C)O.CCCCCCCC(=O)[O-].CCCCC/C=C/C/C=C/CCCCCCCC(=O)[O-],10,323K,10ppm,77.05%
10046,"N,N′-bis(2-hydroxypropyl) hexamethylenediammonium octanoate linolenate
(NNBOL)",CC(O)C[NH2+]CCCCCC[NH2+]CC(C)O.CCCCCCCC(=O)[O-].CCCCC/C=C/C/C=C/CCCCCCCC(=O)[O-],10,323K,25ppm,93.00%
10047,"N,N′-bis(2-hydroxypropyl) hexamethylenediammonium octanoate linolenate
(NNBOL)",CC(O)C[NH2+]CCCCCC[NH2+]CC(C)O.CCCCCCCC(=O)[O-].CCCCC/C=C/C/C=C/CCCCCCCC(=O)[O-],10,323K,50ppm,99.03%
10048,"N,N′-bis(2-hydroxypropyl) hexamethylenediammonium octanoate linolenate
(NNBOL)",CC(O)C[NH2+]CCCCCC[NH2+]CC(C)O.CCCCCCCC(=O)[O-].CCCCC/C=C/C/C=C/CCCCCCCC(=O)[O-],10,323K,100ppm,99.50%
10049,crystal violet,CN(C)c3ccc(C(c1ccc(N(C)C)cc1)=c2ccc(=[N+](C)C)cc2)cc3.[Cl-],50,298K,25ppm,58.01%
10050,crystal violet,CN(C)c3ccc(C(c1ccc(N(C)C)cc1)=c2ccc(=[N+](C)C)cc2)cc3.[Cl-],50,298K,50ppm,86.96%
10051,crystal violet,CN(C)c3ccc(C(c1ccc(N(C)C)cc1)=c2ccc(=[N+](C)C)cc2)cc3.[Cl-],50,298K,75ppm,92.78%
10052,crystal violet,CN(C)c3ccc(C(c1ccc(N(C)C)cc1)=c2ccc(=[N+](C)C)cc2)cc3.[Cl-],50,298K,100ppm,94.84%
10053,crystal violet,CN(C)c3ccc(C(c1ccc(N(C)C)cc1)=c2ccc(=[N+](C)C)cc2)cc3.[Cl-],50,298K,150ppm,94.89%
10054,crystal violet,CN(C)c3ccc(C(c1ccc(N(C)C)cc1)=c2ccc(=[N+](C)C)cc2)cc3.[Cl-],50,313K,25ppm,56.13%
10055,crystal violet,CN(C)c3ccc(C(c1ccc(N(C)C)cc1)=c2ccc(=[N+](C)C)cc2)cc3.[Cl-],50,313K,50ppm,71.31%
10056,crystal violet,CN(C)c3ccc(C(c1ccc(N(C)C)cc1)=c2ccc(=[N+](C)C)cc2)cc3.[Cl-],50,313K,75ppm,73.54%
10057,crystal violet,CN(C)c3ccc(C(c1ccc(N(C)C)cc1)=c2ccc(=[N+](C)C)cc2)cc3.[Cl-],50,313K,100ppm,88.87%
10058,crystal violet,CN(C)c3ccc(C(c1ccc(N(C)C)cc1)=c2ccc(=[N+](C)C)cc2)cc3.[Cl-],50,313K,150ppm,94.61%
10059,crystal violet,CN(C)c3ccc(C(c1ccc(N(C)C)cc1)=c2ccc(=[N+](C)C)cc2)cc3.[Cl-],50,333K,25ppm,38.29%
10060,crystal violet,CN(C)c3ccc(C(c1ccc(N(C)C)cc1)=c2ccc(=[N+](C)C)cc2)cc3.[Cl-],50,333K,50ppm,70.72%
10061,crystal violet,CN(C)c3ccc(C(c1ccc(N(C)C)cc1)=c2ccc(=[N+](C)C)cc2)cc3.[Cl-],50,333K,75ppm,70.93%
10062,crystal violet,CN(C)c3ccc(C(c1ccc(N(C)C)cc1)=c2ccc(=[N+](C)C)cc2)cc3.[Cl-],50,333K,100ppm,75.51%
10063,crystal violet,CN(C)c3ccc(C(c1ccc(N(C)C)cc1)=c2ccc(=[N+](C)C)cc2)cc3.[Cl-],50,333K,150ppm,92.94%
10064,"2-mercaptopyrimidine 
(MPY)",S=c1[nH]ccc[nH+]1,35,298K,100ppm,90.30%
10065,"2-mercaptopyrimidine 
(MPY)",S=c1[nH]ccc[nH+]1,35,343K,100ppm,85.20%
10066,"4-hydroxy-2-mercapto-6-methylpyrimidine 
(HMMP)",Cc1cc(=O)[nH]c(=S)[nH]1,35,298K,100ppm,85.00%
10067,"4-hydroxy-2-mercapto-6-methylpyrimidine 
(HMMP)",Cc1cc(=O)[nH]c(=S)[nH]1,35,343K,100ppm,50.50%
10068,"4,5-Diamino-2,6-dimercaptopyrimidine 
(DDMP)",Nc1[nH]c(=S)[nH]c(=S)c1N,35,298K,100ppm,95.30%
10069,"4,5-Diamino-2,6-dimercaptopyrimidine 
(DDMP)",Nc1[nH]c(=S)[nH]c(=S)c1N,35,343K,100ppm,93.00%
10070,β-N-butyl amino propionic acid,CCCC[NH2+]CCC(=O)[O-],2.587,298K,10ppm,59.66%
10071,β-N-butyl amino propionic acid,CCCC[NH2+]CCC(=O)[O-],2.587,298K,25ppm,72.56%
10072,β-N-butyl amino propionic acid,CCCC[NH2+]CCC(=O)[O-],2.587,298K,50ppm,90.50%
10073,β-N-butyl amino propionic acid,CCCC[NH2+]CCC(=O)[O-],2.587,298K,75ppm,94.23%
10074,β-N-butyl amino propionic acid,CCCC[NH2+]CCC(=O)[O-],2.587,298K,100ppm,95.52%
10075,"quaternary ammonium vanillyl aldehyde oligosaccharide 
GCOS)",COc4cc(/C=N\C1C(O)C(O)C(CO)OC1OC3OC(CO)C(OC2C(O)C(NCC(O)C[N+](C)(C)C)C(O)OC2CO)C(O)C3N)ccc4O.[Cl-],30,333K,25ppm,76.90%
10076,"quaternary ammonium vanillyl aldehyde oligosaccharide 
GCOS)",COc4cc(/C=N\C1C(O)C(O)C(CO)OC1OC3OC(CO)C(OC2C(O)C(NCC(O)C[N+](C)(C)C)C(O)OC2CO)C(O)C3N)ccc4O.[Cl-],30,333K,50ppm,87.50%
10077,"quaternary ammonium vanillyl aldehyde oligosaccharide 
GCOS)",COc4cc(/C=N\C1C(O)C(O)C(CO)OC1OC3OC(CO)C(OC2C(O)C(NCC(O)C[N+](C)(C)C)C(O)OC2CO)C(O)C3N)ccc4O.[Cl-],30,333K,75ppm,89.00%
10078,"quaternary ammonium vanillyl aldehyde oligosaccharide 
GCOS)",COc4cc(/C=N\C1C(O)C(O)C(CO)OC1OC3OC(CO)C(OC2C(O)C(NCC(O)C[N+](C)(C)C)C(O)OC2CO)C(O)C3N)ccc4O.[Cl-],30,333K,100ppm,91.20%
10079,"quaternary ammonium vanillyl aldehyde oligosaccharide 
GCOS)",COc4cc(/C=N\C1C(O)C(O)C(CO)OC1OC3OC(CO)C(OC2C(O)C(NCC(O)C[N+](C)(C)C)C(O)OC2CO)C(O)C3N)ccc4O.[Cl-],30,333K,150ppm,97.60%
10080,"quaternary ammonium vanillyl aldehyde oligosaccharide 
GCOS)",COc4cc(/C=N\C1C(O)C(O)C(CO)OC1OC3OC(CO)C(OC2C(O)C(NCC(O)C[N+](C)(C)C)C(O)OC2CO)C(O)C3N)ccc4O.[Cl-],30,333K,200ppm,99.40%
10081,"pyridine (1-chloromethyl naphthalene) quaternary ammonium salt
(1-CPN)",c3cc[n+](Cc1cccc2ccccc12)cc3.[Cl-],30,333K,2×10-4 M,44.90%
10082,"Thiourea
(TU)",NC(N)=S,30,333K,2×10-4 M,55.40%
10083,"quinoline (1-chloromethyl naphthalene) quaternary ammonium salt
(1-CQN)",c4ccc3c(C[n+]2cccc1ccccc12)cccc3c4.[Cl-],30,333K,2×10-4 M,59.00%
10084,"imidazoline
(IM)",CCCCCCCC/C=C/CCCCCCC/C1=N/CCN1CCN,2.587,333K,60ppm,89.67%
10085,"dithiothreitol
(DTT)",OC(CS)C(O)CS,2.587,333K,60ppm,85.97%
10086,"valsartan
(VST)",CCCCC(=O)N(Cc3ccc(c2ccc(c1nnn[nH]1)cc2)cc3)C(C(=O)O)C(C)C,28.2,333K,50ppm,59.95%
10087,"valsartan
(VST)",CCCCC(=O)N(Cc3ccc(c2ccc(c1nnn[nH]1)cc2)cc3)C(C(=O)O)C(C)C,28.2,333K,100ppm,75.30%
10088,"valsartan
(VST)",CCCCC(=O)N(Cc3ccc(c2ccc(c1nnn[nH]1)cc2)cc3)C(C(=O)O)C(C)C,28.2,333K,200ppm,85.45%
10089,"valsartan
(VST)",CCCCC(=O)N(Cc3ccc(c2ccc(c1nnn[nH]1)cc2)cc3)C(C(=O)O)C(C)C,28.2,333K,400ppm,90.35%
10090,"candesartan
(CST)",CCO/C2=C/C1/C=C\C=C(C(=O)O)/C1N2Cc5ccc(c4ccc(c3nnn[nH]3)cc4)cc5,28.2,333K,50ppm,79.45%
10091,"candesartan
(CST)",CCO/C2=C/C1/C=C\C=C(C(=O)O)/C1N2Cc5ccc(c4ccc(c3nnn[nH]3)cc4)cc5,28.2,333K,100ppm,84.00%
10092,"candesartan
(CST)",CCO/C2=C/C1/C=C\C=C(C(=O)O)/C1N2Cc5ccc(c4ccc(c3nnn[nH]3)cc4)cc5,28.2,333K,200ppm,89.35%
10093,"candesartan
(CST)",CCO/C2=C/C1/C=C\C=C(C(=O)O)/C1N2Cc5ccc(c4ccc(c3nnn[nH]3)cc4)cc5,28.2,333K,400ppm,93.30%
10094,furfuryl mercaptan (FFT),SCc1ccco1,35,333K,1ppm,77.40%
10095,furfuryl mercaptan (FFT),SCc1ccco1,35,333K,2.5ppm,90.00%
10096,furfuryl mercaptan (FFT),SCc1ccco1,35,333K,5ppm,91.10%
10097,furfuryl mercaptan (FFT),SCc1ccco1,35,333K,7.5ppm,96.00%
10098,furfuryl mercaptan (FFT),SCc1ccco1,35,333K,10ppm,95.90%
10099,"difurfuryl disulfide 
DFDS)",c2coc(CSSCc1ccco1)c2,35,333K,1ppm,95.90%
10100,"difurfuryl disulfide 
DFDS)",c2coc(CSSCc1ccco1)c2,35,333K,2.5ppm,97.80%
10101,"difurfuryl disulfide 
DFDS)",c2coc(CSSCc1ccco1)c2,35,333K,5ppm,98.20%
10102,"difurfuryl disulfide 
DFDS)",c2coc(CSSCc1ccco1)c2,35,333K,7.5ppm,98.40%
10103,"difurfuryl disulfide 
DFDS)",c2coc(CSSCc1ccco1)c2,35,333K,10ppm,99.10%
10104,2-phenylthiazolidine-4-carboxylic acid (PTCA),O=C(O)[C@@H]2CSC(c1ccccc1)N2,62.36,333K,0.1mM,96.79%
10105,2-phenylthiazolidine-4-carboxylic acid (PTCA),O=C(O)[C@@H]2CSC(c1ccccc1)N2,62.36,333K,0.2mM,97.25%
10106,2-phenylthiazolidine-4-carboxylic acid (PTCA),O=C(O)[C@@H]2CSC(c1ccccc1)N2,62.36,333K,0.4mM,98.30%
10107,2-phenylthiazolidine-4-carboxylic acid (PTCA),O=C(O)[C@@H]2CSC(c1ccccc1)N2,62.36,333K,0.8mM,98.92%
10108,2-(thiophen-2-yl)thiazolidine-4-carboxylic acid (TTCA),O=C(O)[C@@H]2CSC(c1cccs1)N2,62.36,333K,0.1mM,98.25%
10109,2-(thiophen-2-yl)thiazolidine-4-carboxylic acid (TTCA),O=C(O)[C@@H]2CSC(c1cccs1)N2,62.36,333K,0.2mM,98.78%
10110,2-(thiophen-2-yl)thiazolidine-4-carboxylic acid (TTCA),O=C(O)[C@@H]2CSC(c1cccs1)N2,62.36,333K,0.4mM,99.27%
10111,2-(thiophen-2-yl)thiazolidine-4-carboxylic acid (TTCA),O=C(O)[C@@H]2CSC(c1cccs1)N2,62.36,333K,0.8mM,99.58%
10112,"Co-MOF
with 2-methylimidazole as an organic ligand",CC1N2CCN1[Co]N7CCN([Co]N6CCN([Co]N5CCN([Co]N4CCN([Co]N3CCN([Co]2)C3C)C4C)C5C)C6C)C7C,35,room temperature,0.0125wt%,76.00%
10113,"Co-MOF
with 2-methylimidazole as an organic ligand",CC1N2CCN1[Co]N7CCN([Co]N6CCN([Co]N5CCN([Co]N4CCN([Co]N3CCN([Co]2)C3C)C4C)C5C)C6C)C7C,35,room temperature,0.025wt%,83.00%
10114,"Co-MOF
with 2-methylimidazole as an organic ligand",CC1N2CCN1[Co]N7CCN([Co]N6CCN([Co]N5CCN([Co]N4CCN([Co]N3CCN([Co]2)C3C)C4C)C5C)C6C)C7C,35,room temperature,0.05wt%,90.00%
10115,"Co-MOF
with 2-methylimidazole as an organic ligand",CC1N2CCN1[Co]N7CCN([Co]N6CCN([Co]N5CCN([Co]N4CCN([Co]N3CCN([Co]2)C3C)C4C)C5C)C6C)C7C,35,room temperature,0.075wt%,92.00%
10116,"Co-MOF
with 2-methylimidazole as an organic ligand",CC1N2CCN1[Co]N7CCN([Co]N6CCN([Co]N5CCN([Co]N4CCN([Co]N3CCN([Co]2)C3C)C4C)C5C)C6C)C7C,35,room temperature,0.1wt%,97.00%
10118,"5-(4-(dimethylamino)phenyl)−2,7-dithioxo-2,3,5,6,7,8-hexahydropyrimido[4,5-d]pyrimidin-4(1H)-one
(DPP)",CN(C)c3ccc(C2NC(=S)Nc1[nH]c(=S)[nH]c(=O)c12)cc3,35,298K,5ppm,96.00%
10119,"5-(4-(dimethylamino)phenyl)−2,7-dithioxo-2,3,5,6,7,8-hexahydropyrimido[4,5-d]pyrimidin-4(1H)-one
(DPP)",CN(C)c3ccc(C2NC(=S)Nc1[nH]c(=S)[nH]c(=O)c12)cc3,35,298K,10ppm,97.00%
10120,"5-(4-(dimethylamino)phenyl)−2,7-dithioxo-2,3,5,6,7,8-hexahydropyrimido[4,5-d]pyrimidin-4(1H)-one
(DPP)",CN(C)c3ccc(C2NC(=S)Nc1[nH]c(=S)[nH]c(=O)c12)cc3,35,298K,50ppm,98.00%
10121,"5-(4-(dimethylamino)phenyl)−2,7-dithioxo-2,3,5,6,7,8-hexahydropyrimido[4,5-d]pyrimidin-4(1H)-one
(DPP)",CN(C)c3ccc(C2NC(=S)Nc1[nH]c(=S)[nH]c(=O)c12)cc3,35,298K,5ppm,55.00%
10122,"5-(4-(dimethylamino)phenyl)−2,7-dithioxo-2,3,5,6,7,8-hexahydropyrimido[4,5-d]pyrimidin-4(1H)-one
(DPP)",CN(C)c3ccc(C2NC(=S)Nc1[nH]c(=S)[nH]c(=O)c12)cc3,35,298K,10ppm,67.00%
10123,"5-(4-(dimethylamino)phenyl)−2,7-dithioxo-2,3,5,6,7,8-hexahydropyrimido[4,5-d]pyrimidin-4(1H)-one
(DPP)",CN(C)c3ccc(C2NC(=S)Nc1[nH]c(=S)[nH]c(=O)c12)cc3,35,298K,50ppm,81.00%
10124,"2-mercaptobenzimidazole
(2-MBI)",S=c2[nH]c1ccccc1[nH]2,9.945,343K,1mM,83.00%
10125,"2-mercaptobenzimidazole
(2-MBI)",S=c2[nH]c1ccccc1[nH]2,9.945,343K,3mM,87.00%
10126,"2-amino-5-ethyl-1,3,4-thiodiazole (2-AETD)",CCc1nnc(N)s1,9.945,343K,1mM,44.00%
10127,"2-amino-5-ethyl-1,3,4-thiodiazole (2-AETD)",CCc1nnc(N)s1,9.945,343K,3mM,80.00%
10128,"Sodium (E)-4-Hydroxy-3-((pyridin-2-ylimino)methyl)benzenesulfonate
(H1)",O=S(=O)([O-])c2ccc(O)c(/C=N/c1ccccn1)c2.[Na+],35,323K,1×10-6 M,24.90%
10129,"Sodium (E)-4-Hydroxy-3-((pyridin-2-ylimino)methyl)benzenesulfonate
(H1)",O=S(=O)([O-])c2ccc(O)c(/C=N/c1ccccn1)c2.[Na+],35,323K,5×10-6 M,32.60%
10130,"Sodium (E)-4-Hydroxy-3-((pyridin-2-ylimino)methyl)benzenesulfonate
(H1)",O=S(=O)([O-])c2ccc(O)c(/C=N/c1ccccn1)c2.[Na+],35,323K,1×10-5 M,50.40%
10131,"Sodium (E)-4-Hydroxy-3-((pyridin-2-ylimino)methyl)benzenesulfonate
(H1)",O=S(=O)([O-])c2ccc(O)c(/C=N/c1ccccn1)c2.[Na+],35,323K,5×10-5 M,66.30%
10132,"Sodium (E)-4-Hydroxy-3-((pyridin-2-ylimino)methyl)benzenesulfonate
(H1)",O=S(=O)([O-])c2ccc(O)c(/C=N/c1ccccn1)c2.[Na+],35,323K,1×10-4 M,83.80%
10133,"Sodium (E)-4-Hydroxy-3-((pyridin-2-ylimino)methyl)benzenesulfonate
(H1)",O=S(=O)([O-])c2ccc(O)c(/C=N/c1ccccn1)c2.[Na+],35,323K,5×10-4 M,92.50%
10134,"Sodium 3,3′-(1E,1′E)-(1,2-Phenylenebis(azan-1-yl-1-ylidene))bis(methan-1-yl-1-ylidene)bis(4-hydroxybenzenesulfonate)
(H2)",O=S(=O)([O-])c3ccc(O)c(/C=N/c1ccccc1/N=C/c2cc(S(=O)(=O)[O-])ccc2O)c3.[Na+].[Na+],35,323K,1×10-6 M,28.30%
10135,"Sodium 3,3′-(1E,1′E)-(1,2-Phenylenebis(azan-1-yl-1-ylidene))bis(methan-1-yl-1-ylidene)bis(4-hydroxybenzenesulfonate)
(H2)",O=S(=O)([O-])c3ccc(O)c(/C=N/c1ccccc1/N=C/c2cc(S(=O)(=O)[O-])ccc2O)c3.[Na+].[Na+],35,323K,5×10-6 M,39.60%
10136,"Sodium 3,3′-(1E,1′E)-(1,2-Phenylenebis(azan-1-yl-1-ylidene))bis(methan-1-yl-1-ylidene)bis(4-hydroxybenzenesulfonate)
(H2)",O=S(=O)([O-])c3ccc(O)c(/C=N/c1ccccc1/N=C/c2cc(S(=O)(=O)[O-])ccc2O)c3.[Na+].[Na+],35,323K,1×10-5 M,57.60%
10137,"Sodium 3,3′-(1E,1′E)-(1,2-Phenylenebis(azan-1-yl-1-ylidene))bis(methan-1-yl-1-ylidene)bis(4-hydroxybenzenesulfonate)
(H2)",O=S(=O)([O-])c3ccc(O)c(/C=N/c1ccccc1/N=C/c2cc(S(=O)(=O)[O-])ccc2O)c3.[Na+].[Na+],35,323K,5×10-5 M,73.40%
